"PMDBID","PRIDE.ID","PMDB.tissue","PRIDE.tissues","title","projectDescription","publicationDate","submissionType","numAssays","species","instrumentNames","ptmNames","projectTags"
"PMDR000018","PRD000018","brain","brain","HUPO Brain Proteome Project","Not available","2006-11-30","PRIDE","82","Homo sapiens (Human);Mus","ABI 4700 4700 Proteomics Analyzer (Family: Applied Biosystems (ABI));ultraflex TOF Bruker Flex-series (ultraflex TOF) (Family: Bruker Flex-series);Bruker Daltonics flex series;LCQ (Family: );Bruker Reflex III Serial Bruker Flex-series (Bruker Reflex III Serial) (Family: Bruker Flex-series);Biflex TOF-PC (Family: Bruker Flex-series);LCQ Classic;Finnigan LCQ Classic  (Finnigan LCQ Classic) (Family: );ultraflex TOF/TOF FLEX-PC (Family: Bruker Flex-series);MALDI TOF-TOF ABI 4700 TOF/TOF (Family: );4700 Proteomics Analyzer","Acrylamide adduct;Applied Biosystems cleavable ICAT(TM) light;iodoacetamide derivatized residue;methionine oxidation with neutral loss of 64 Da;Applied Biosystems cleavable ICAT(TM) heavy;Iodoacetamide derivative;S-carboxamidoethyl-L-cysteine",""
"PMDR000151","PRD000151","brain","brain","Human Brain 6-11 reference map (dlpfc brain region)","Not available","2012-03-05","PRIDE","16","Homo sapiens (Human)","LTQ Orbitrap;Bruker Daltonics flex series;LTQ-Orbitrap;LTQ;Bruker Ultraflex","iodoacetamide - site C;monohydroxylated residue",""
"PMDR000345","PRD000345","brain","lung;kidney;Burkitt lymphoma cell;spleen;liver;HL-60 cell;HeLa cell;JURKAT E-6.1 cell;brain;K-562 cell;heart;THP-1 cell","Chemoproteomics profiling reveals that HDAC inhibitors bind to large protein complexes and display compound class-dependent selectivity","Compound profiling experiments, data for figure 2, table 1","2011-01-23","PRIDE","128","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap;LTQ-Orbitrap","dimethylated residue;methylated residue;TMT6plex-131 reporter+balance reagent N6-acylated lysine;phosphorylated residue;monohydroxylated residue;trimethylated residue;deamidated residue;N-acetylated residue;iTRAQ4plex-117 reporter+balance reagent N6-acylated lysine;S-carboxamidomethyl-L-cysteine",""
"PMDR000345","PRD000345","heart","lung;kidney;Burkitt lymphoma cell;spleen;liver;HL-60 cell;HeLa cell;JURKAT E-6.1 cell;brain;K-562 cell;heart;THP-1 cell","Chemoproteomics profiling reveals that HDAC inhibitors bind to large protein complexes and display compound class-dependent selectivity","Compound profiling experiments, data for figure 2, table 1","2011-01-23","PRIDE","128","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap;LTQ-Orbitrap","dimethylated residue;methylated residue;TMT6plex-131 reporter+balance reagent N6-acylated lysine;phosphorylated residue;monohydroxylated residue;trimethylated residue;deamidated residue;N-acetylated residue;iTRAQ4plex-117 reporter+balance reagent N6-acylated lysine;S-carboxamidomethyl-L-cysteine",""
"PMDR000345","PRD000345","kidney","lung;kidney;Burkitt lymphoma cell;spleen;liver;HL-60 cell;HeLa cell;JURKAT E-6.1 cell;brain;K-562 cell;heart;THP-1 cell","Chemoproteomics profiling reveals that HDAC inhibitors bind to large protein complexes and display compound class-dependent selectivity","Compound profiling experiments, data for figure 2, table 1","2011-01-23","PRIDE","128","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap;LTQ-Orbitrap","dimethylated residue;methylated residue;TMT6plex-131 reporter+balance reagent N6-acylated lysine;phosphorylated residue;monohydroxylated residue;trimethylated residue;deamidated residue;N-acetylated residue;iTRAQ4plex-117 reporter+balance reagent N6-acylated lysine;S-carboxamidomethyl-L-cysteine",""
"PMDR000345","PRD000345","liver","lung;kidney;Burkitt lymphoma cell;spleen;liver;HL-60 cell;HeLa cell;JURKAT E-6.1 cell;brain;K-562 cell;heart;THP-1 cell","Chemoproteomics profiling reveals that HDAC inhibitors bind to large protein complexes and display compound class-dependent selectivity","Compound profiling experiments, data for figure 2, table 1","2011-01-23","PRIDE","128","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap;LTQ-Orbitrap","dimethylated residue;methylated residue;TMT6plex-131 reporter+balance reagent N6-acylated lysine;phosphorylated residue;monohydroxylated residue;trimethylated residue;deamidated residue;N-acetylated residue;iTRAQ4plex-117 reporter+balance reagent N6-acylated lysine;S-carboxamidomethyl-L-cysteine",""
"PMDR000345","PRD000345","lung","lung;kidney;Burkitt lymphoma cell;spleen;liver;HL-60 cell;HeLa cell;JURKAT E-6.1 cell;brain;K-562 cell;heart;THP-1 cell","Chemoproteomics profiling reveals that HDAC inhibitors bind to large protein complexes and display compound class-dependent selectivity","Compound profiling experiments, data for figure 2, table 1","2011-01-23","PRIDE","128","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap;LTQ-Orbitrap","dimethylated residue;methylated residue;TMT6plex-131 reporter+balance reagent N6-acylated lysine;phosphorylated residue;monohydroxylated residue;trimethylated residue;deamidated residue;N-acetylated residue;iTRAQ4plex-117 reporter+balance reagent N6-acylated lysine;S-carboxamidomethyl-L-cysteine",""
"PMDR000345","PRD000345","spleen","lung;kidney;Burkitt lymphoma cell;spleen;liver;HL-60 cell;HeLa cell;JURKAT E-6.1 cell;brain;K-562 cell;heart;THP-1 cell","Chemoproteomics profiling reveals that HDAC inhibitors bind to large protein complexes and display compound class-dependent selectivity","Compound profiling experiments, data for figure 2, table 1","2011-01-23","PRIDE","128","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap;LTQ-Orbitrap","dimethylated residue;methylated residue;TMT6plex-131 reporter+balance reagent N6-acylated lysine;phosphorylated residue;monohydroxylated residue;trimethylated residue;deamidated residue;N-acetylated residue;iTRAQ4plex-117 reporter+balance reagent N6-acylated lysine;S-carboxamidomethyl-L-cysteine",""
"PMDR000580","PRD000580","brain","brain","intra-tumoral heterogenity of glioblsatoma multiforme","Quantitative proteomics analysis of different areas of glioblast","2016-12-02","PRIDE","140","Homo sapiens (Human)","dataprocessing2","No PTMs are included in the dataset",""
"PMDR000620","PRD000620","brain","brain","Label free quantitative analysis of brain mitochondrial fraction tumour vs non-tumour","Homo sapiens; non-tumourous; brain mitochondrial fraction","2015-09-11","PRIDE","12","Homo sapiens (Human)","LTQ Orbitrap;LTQ-Orbitrap","iodoacetamide - site C;monohydroxylated residue;acetylated residue;O-phospho-L-serine",""
"PMDR000644","PRD000644","brain","brain","Protemic analysis of human hippocampus shows differential protein expression in the different hippocampal subfields","Not available","2013-04-23","PRIDE","153","Homo sapiens (Human)","Bruker Daltonics HCT Series;HCT ultra","iodoacetamide derivatized residue;phosphorylated residue;monohydroxylated residue;deamidated residue;O-phospho-L-serine",""
"PMDX000004","PXD000004","brain","brain","Identification and quantification of human postmortem frontal cortex proteome with a SILAM mouse brain standard","Prefrontal cortex tissue slices from a cognitively and neurpatho","2012-12-10","COMPLETE","5","Homo sapiens (Human)","QExactive;Q Exactive","iodoacetamide derivatized residue;monohydroxylated residue;6x(13)C labeled residue",""
"PMDX000261","PXD000261","brain","brain","Host response profile of human brain proteome in toxoplasma encephalitis","Frontal cortex brain tissues obtained from 5 toxoplasma encephal","2016-05-09","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos","iTRAQ4plex-116 reporter+balance reagent acylated residue;monohydroxylated residue;methylthiolated residue",""
"PMDX000263","PXD000263","non tissue","brain","Proteome analysis of the MO3.13 cell line from human oligodendrocytes","MO3.13 is an immortal human-human hybrid cell line that express ","2013-10-08","COMPLETE","1","Homo sapiens (Human)","LTQ Orbitrap;LTQ-Orbitrap","iodoacetamide derivatized amino-terminal residue;monohydroxylated residue","Biomedical"
"PMDX000395","PXD000395","brain","brain","Chromosome 11-Centric Human Proteome Project","For the analysis of chromosome 11-centric human proteome, we ana","2016-10-10","COMPLETE","12","Homo sapiens (Human)","LTQ-Orbitrap XL ETD","No PTMs are included in the dataset","Human Proteome Project"
"PMDX000437","PXD000437","brain","brain","Amyloid Beta A4 Precursor Protein-binding Family B Member 1 (FE65) Interactomics Revealed Synaptic Vesicle Glycoprotein 2A (SV2A) and Sarcoplasmic/Endoplasmic Reticulum Calcium ATPase 2 (SERCA2) as New Binding Proteins in the Human Brain","FE65 is a cytosolic adapter protein and an important binding par","2016-05-18","COMPLETE","60","Homo sapiens (Human)","LTQ Orbitrap","iodoacetamide derivatized residue;phosphorylated residue;monohydroxylated residue","Biomedical"
"PMDX000561","PXD000561","blood","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","blood platelet","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","brain","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","eye","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","GI tract","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","heart","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","kidney","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","kidneys","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","large intestine","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","liver","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","lung","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","ovary","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","pancreas","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","placenta","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","prostate","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","rectum","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
