"PMDBID","PRIDE.ID","PMDB.tissue","PRIDE.tissues","publicationDate","submissionType","numAssays","species"
"PMDX004510","PXD004510","brain","cerebral gray matter","2017-09-03","COMPLETE","50","Homo sapiens (Human)"
"PMDR000151","PRD000151","brain","brain","2012-03-05","PRIDE","16","Homo sapiens (Human)"
"PMDX000263","PXD000263","non tissue","brain","2013-10-08","COMPLETE","1","Homo sapiens (Human)"
"PMDX002528","PXD002528","brain","brain","2015-12-07","PARTIAL","0","Homo sapiens (Human)"
"PMDX008036","PXD008036","brain","brain","2018-10-24","PARTIAL","0","Homo sapiens (Human)"
"PMDX000395","PXD000395","brain","brain","2016-10-10","COMPLETE","12","Homo sapiens (Human)"
"PMDX005206","PXD008029","brain","blood plasma;cerebrospinal fluid","2018-05-01","COMPLETE","4","Homo sapiens (Human)"
"PMDX005206","PXD005206","brain","blood plasma;cell culture;cerebrospinal fluid","2018-05-01","PARTIAL","0","Homo sapiens (Human);Escherichia coli"
"PMDX010271","PXD010271","brain","temporal lobe;substantia nigra;ovary;blood plasma;liver;pancreas;blood serum;cerebrospinal fluid;monocyte","2018-10-22","COMPLETE","252","Homo sapiens (Human)"
"PMDR000019","PRD000019","brain","cerebrospinal fluid","2007-02-14","PRIDE","18","Homo sapiens (Human)"
"PMDX001038","PXD001038","brain","brain","2014-07-09","PARTIAL","0","Homo sapiens (Human)"
"PMDX001398","PXD001398","brain","brain","2014-10-17","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX005319","PXD005319","brain","brain","2018-01-16","PARTIAL","0","Homo sapiens (Human)"
"PMDX008970","PXD008970","brain","smooth muscle;stomach;testis;kidney;pancreas;adrenal gland;fat body;tonsil;liver;spleen;urinary bladder;uterine endometrium;vermiform appendix;gall bladder;brain;duodenum;heart;bone marrow;salivary gland;lung;ovary;lymph node;colon;placenta;rectum;small intestine;esophagus","2018-04-04","PARTIAL","0","Homo sapiens (Human)"
"PMDX007694","PXD007694","brain","brain","2017-11-27","PARTIAL","0","Homo sapiens (Human)"
"PMDX006233","PXD006233","brain","brain","2017-09-11","PARTIAL","0","Homo sapiens (Human)"
"PMDX003288","PXD003288","brain","cerebral cortex","2016-05-31","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX002516","PXD002516","brain","brain","2016-08-24","PARTIAL","0","Homo sapiens (Human)"
"PMDX006027","PXD006027","brain","spleen;brain;breast","2017-07-17","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX001654","PXD001654","brain","cerebrospinal fluid","2016-06-24","PARTIAL","0","Homo sapiens (Human)"
"PMDX005245","PXD005245","brain","brain","2018-03-08","PARTIAL","0","Homo sapiens (Human)"
"PMDX009343","PXD009343","non tissue","brain","2018-06-25","PARTIAL","0","Homo sapiens (Human)"
"PMDR000018","PRD000018","brain","brain","2006-11-30","PRIDE","82","Homo sapiens (Human);Mus"
"PMDR000345","PRD000345","brain","lung;kidney;Burkitt lymphoma cell;spleen;liver;HL-60 cell;HeLa cell;JURKAT E-6.1 cell;brain;K-562 cell;heart;THP-1 cell","2011-01-23","PRIDE","128","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDR000580","PRD000580","brain","brain","2016-12-02","PRIDE","140","Homo sapiens (Human)"
"PMDR000651","PRD000651","brain","cerebrospinal fluid","2012-06-30","PRIDE","2","Felis catus (Cat) (Felis silvestris catus);Homo sapiens (Human)"
"PMDR000644","PRD000644","brain","brain","2013-04-23","PRIDE","153","Homo sapiens (Human)"
"PMDX000004","PXD000004","brain","brain","2012-12-10","COMPLETE","5","Homo sapiens (Human)"
"PMDX000547","PXD000547","brain","corpus callosum","2014-06-04","PARTIAL","0","Homo sapiens (Human)"
"PMDX000547","PXD000548","brain","temporal lobe","2014-06-04","PARTIAL","0","Homo sapiens (Human)"
"PMDX000437","PXD000437","brain","brain","2016-05-18","COMPLETE","60","Homo sapiens (Human)"
"PMDX000561","PXD000561","brain","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","2014-04-23","PARTIAL","0","Homo sapiens (Human)"
"PMDR000620","PRD000620","brain","brain","2015-09-11","PRIDE","12","Homo sapiens (Human)"
"PMDX000651","PXD000655","brain","cerebrospinal fluid","2014-08-04","COMPLETE","1","Homo sapiens (Human)"
"PMDX000651","PXD000654","brain","cerebrospinal fluid","2014-08-04","COMPLETE","1","Homo sapiens (Human)"
"PMDX000651","PXD000653","brain","cerebrospinal fluid","2014-08-04","COMPLETE","1","Homo sapiens (Human)"
"PMDX000651","PXD000652","brain","cerebrospinal fluid","2014-08-04","COMPLETE","1","Homo sapiens (Human)"
"PMDX000651","PXD000651","brain","cerebrospinal fluid","2014-08-04","COMPLETE","1","Homo sapiens (Human)"
"PMDX000764","PXD000764","brain","cerebrospinal fluid","2014-07-22","COMPLETE","12","Streptococcus pneumoniae (strain ATCC BAA-255 / R6);Homo sapiens (Human)"
"PMDX001180","PXD001180","brain","brain","2015-01-28","PARTIAL","0","Homo sapiens (Human)"
"PMDX000261","PXD000261","brain","brain","2016-05-09","PARTIAL","0","Homo sapiens (Human)"
"PMDX000742","PXD000757","brain","brain","2018-10-19","PARTIAL","0","Homo sapiens (Human)"
"PMDX000742","PXD000755","brain","brain","2018-10-19","PARTIAL","0","Homo sapiens (Human)"
"PMDX000742","PXD000749","brain","brain","2018-10-19","PARTIAL","0","Homo sapiens (Human)"
"PMDX000742","PXD000742","brain","brain","2018-10-19","PARTIAL","0","Homo sapiens (Human)"
"PMDX000805","PXD001496","brain","brain","2015-08-17","PARTIAL","0","Homo sapiens (Human)"
"PMDX000805","PXD000805","brain","brain","2015-08-17","PARTIAL","0","Homo sapiens (Human)"
