"PMDBID","PRIDE.ID","PMDB.tissue","PRIDE.tissues","publicationDate","submissionType","numAssays","species"
"PMDR000018","PRD000018","brain","brain","2006-11-30","PRIDE","82","Homo sapiens (Human);Mus"
"PMDR000151","PRD000151","brain","brain","2012-03-05","PRIDE","16","Homo sapiens (Human)"
"PMDR000345","PRD000345","brain","lung;kidney;Burkitt lymphoma cell;spleen;liver;HL-60 cell;HeLa cell;JURKAT E-6.1 cell;brain;K-562 cell;heart;THP-1 cell","2011-01-23","PRIDE","128","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDR000580","PRD000580","brain","brain","2016-12-02","PRIDE","140","Homo sapiens (Human)"
"PMDR000620","PRD000620","brain","brain","2015-09-11","PRIDE","12","Homo sapiens (Human)"
"PMDR000644","PRD000644","brain","brain","2013-04-23","PRIDE","153","Homo sapiens (Human)"
"PMDX000004","PXD000004","brain","brain","2012-12-10","COMPLETE","5","Homo sapiens (Human)"
"PMDX000261","PXD000261","brain","brain","2016-05-09","PARTIAL","0","Homo sapiens (Human)"
"PMDX000263","PXD000263","non tissue","brain","2013-10-08","COMPLETE","1","Homo sapiens (Human)"
"PMDX000395","PXD000395","brain","brain","2016-10-10","COMPLETE","12","Homo sapiens (Human)"
"PMDX000437","PXD000437","brain","brain","2016-05-18","COMPLETE","60","Homo sapiens (Human)"
"PMDX000561","PXD000561","brain","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","2014-04-23","PARTIAL","0","Homo sapiens (Human)"
"PMDX000742","PXD000757","brain","brain","2018-10-19","PARTIAL","0","Homo sapiens (Human)"
"PMDX000742","PXD000755","brain","brain","2018-10-19","PARTIAL","0","Homo sapiens (Human)"
"PMDX000742","PXD000749","brain","brain","2018-10-19","PARTIAL","0","Homo sapiens (Human)"
"PMDX000742","PXD000742","brain","brain","2018-10-19","PARTIAL","0","Homo sapiens (Human)"
"PMDX000805","PXD001496","brain","brain","2015-08-17","PARTIAL","0","Homo sapiens (Human)"
"PMDX000805","PXD000805","brain","brain","2015-08-17","PARTIAL","0","Homo sapiens (Human)"
"PMDX001038","PXD001038","brain","brain","2014-07-09","PARTIAL","0","Homo sapiens (Human)"
"PMDX001180","PXD001180","brain","brain","2015-01-28","PARTIAL","0","Homo sapiens (Human)"
"PMDX001255","PXD001255","brain","brain","2016-07-06","PARTIAL","0","Homo sapiens (Human)"
"PMDX001352","PXD001352","non tissue","liver;brain;small intestine mucosa;erythrocyte","2014-12-15","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX001353","PXD001353","brain","brain","2015-05-15","COMPLETE","24","Homo sapiens (Human)"
"PMDX001398","PXD001398","brain","brain","2014-10-17","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX001468","PXD001468","non tissue","kidney;brain","2015-06-03","PARTIAL","0","Homo sapiens (Human)"
"PMDX001565","PXD001565","non tissue","colon;brain","2015-12-09","PARTIAL","0","Homo sapiens (Human)"
"PMDX001778","PXD001778","non tissue","brain","2016-02-17","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse);Homo sapiens/Mus musculus xenograft"
"PMDX001987","PXD001987","brain","brain","2016-04-13","PARTIAL","0","Homo sapiens (Human)"
"PMDX002448","PXD002448","brain","brain","2016-05-23","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX002516","PXD002516","brain","brain","2016-08-24","PARTIAL","0","Homo sapiens (Human)"
"PMDX002528","PXD002528","brain","brain","2015-12-07","PARTIAL","0","Homo sapiens (Human)"
"PMDX002614","PXD002614","non tissue","brain","2016-01-13","COMPLETE","16","Homo sapiens (Human)"
"PMDX002775","PXD002775","brain","renal cortex;neuron;artery;brain;epithelial cell;cerebellum;prostate epithelium cell line;cerebral cortex;kidney;parathyroid gland;keratinocyte;cell culture;pancreas;renal medulla;aorta","2015-10-13","PARTIAL","0","Homo sapiens (Human)"
"PMDX002783","PXD002783","brain","brain","2016-04-15","PARTIAL","0","Homo sapiens (Human)"
"PMDX002813","PXD002813","brain","brain","2015-10-01","PARTIAL","0","Homo sapiens (Human)"
"PMDX002959","PXD002959","brain","brain","2015-11-18","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX003027","PXD003027","brain","brain","2016-04-07","PARTIAL","0","Homo sapiens (Human)"
"PMDX003071","PXD003071","brain","cell culture;brain","2016-02-04","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX003289","PXD003289","brain","brain","2017-01-20","PARTIAL","0","Homo sapiens (Human)"
"PMDX003422","PXD003422","non tissue","kidney;liver;brain","2016-06-20","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX003519","PXD003519","brain","brain","2017-12-04","COMPLETE","8","Homo sapiens (Human)"
"PMDX003596","PXD003596","non tissue","cell culture;brain","2016-06-01","PARTIAL","0","Homo sapiens (Human)"
"PMDX003733","PXD003733","brain","liver;brain","2016-04-28","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX003790","PXD003790","non tissue","cell culture;brain","2016-07-18","PARTIAL","0","Homo sapiens (Human)"
"PMDX004010","PXD004010","brain","brain","2017-02-20","PARTIAL","0","Homo sapiens (Human)"
"PMDX004075","PXD004076","brain","brain","2017-07-14","PARTIAL","0","Homo sapiens (Human)"
"PMDX004075","PXD005065","brain","brain","2017-07-14","PARTIAL","0","Homo sapiens (Human)"
"PMDX004143","PXD004143","brain","brain","2017-07-31","PARTIAL","0","Homo sapiens (Human)"
"PMDX004190","PXD004190","non tissue","cell culture;brain","2016-12-23","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX004437","PXD004437","brain","brain","2016-12-13","PARTIAL","0","Homo sapiens (Human)"
"PMDX004499","PXD004499","brain","brain","2016-09-29","PARTIAL","0","Homo sapiens (Human)"
"PMDX004628","PXD004628","non tissue","liver;cell culture;brain","2016-10-10","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX004867","PXD004867","brain","brain","2017-07-05","PARTIAL","0","Homo sapiens (Human)"
"PMDX004930","PXD004930","brain","brain","2017-12-11","PARTIAL","0","Homo sapiens (Human)"
"PMDX004987","PXD004987","brain","brain","2016-12-22","COMPLETE","9","Homo sapiens (Human)"
"PMDX005119","PXD005119","brain","brain","2017-09-04","PARTIAL","0","Homo sapiens (Human)"
"PMDX005119","PXD006552","brain","brain","2017-08-28","COMPLETE","1","Homo sapiens (Human)"
"PMDX005230","PXD009792","non tissue","liver;brain","2018-07-03","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX005245","PXD005245","brain","brain","2018-03-08","PARTIAL","0","Homo sapiens (Human)"
"PMDX005319","PXD005319","brain","brain","2018-01-16","PARTIAL","0","Homo sapiens (Human)"
"PMDX005334","PXD005334","non tissue","cell culture;brain","2017-01-17","PARTIAL","0","Homo sapiens (Human)"
"PMDX005445","PXD005445","brain","brain","2018-01-09","PARTIAL","0","Homo sapiens (Human)"
"PMDX005567","PXD005567","non tissue","HEK-293 cell;brain","2017-08-24","COMPLETE","28","Homo sapiens (Human);Rattus norvegicus (Rat)"
"PMDX005629","PXD005629","brain","brain","2017-08-23","PARTIAL","0","Homo sapiens (Human)"
"PMDX005753","PXD005753","brain","brain","2017-06-29","COMPLETE","6","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX006027","PXD006027","brain","spleen;brain;breast","2017-07-17","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX006109","PXD006109","non tissue","blood plasma;HeLa cell;brain","2018-05-02","PARTIAL","0","Homo sapiens (Human);Escherichia coli;Mus musculus (Mouse)"
"PMDX006122","PXD006122","brain","brain","2017-12-08","PARTIAL","0","Homo sapiens (Human)"
"PMDX006233","PXD006233","brain","brain","2017-09-11","PARTIAL","0","Homo sapiens (Human)"
"PMDX006471","PXD006471","brain","thyroid gland;brain","2017-07-07","COMPLETE","80","Homo sapiens (Human)"
"PMDX006607","PXD006607","brain","brain","2018-09-10","PARTIAL","0","Homo sapiens (Human)"
"PMDX006798","PXD006798","brain","brain","2017-09-29","PARTIAL","0","Homo sapiens (Human)"
"PMDX007235","PXD007235","brain","brain","2018-04-06","PARTIAL","0","Homo sapiens (Human)"
